"","state","eth","male","age","educ","n"
"1",1,"White",-0.5,"18-29","No HS",23948
"2",1,"White",-0.5,"18-29","HS",59378
"3",1,"White",-0.5,"18-29","Some college",104855
"4",1,"White",-0.5,"18-29","4-Year College",37066
"5",1,"White",-0.5,"18-29","Post-grad",9378
"6",1,"White",-0.5,"30-39","No HS",14303
"7",1,"White",-0.5,"30-39","HS",41425
"8",1,"White",-0.5,"30-39","Some college",65208
"9",1,"White",-0.5,"30-39","4-Year College",41419
"10",1,"White",-0.5,"30-39","Post-grad",24648
"11",1,"White",-0.5,"40-49","No HS",18199
"12",1,"White",-0.5,"40-49","HS",48377
"13",1,"White",-0.5,"40-49","Some college",69254
"14",1,"White",-0.5,"40-49","4-Year College",43833
"15",1,"White",-0.5,"40-49","Post-grad",24382
"16",1,"White",-0.5,"50-59","No HS",22665
"17",1,"White",-0.5,"50-59","HS",73495
"18",1,"White",-0.5,"50-59","Some college",78874
"19",1,"White",-0.5,"50-59","4-Year College",36560
"20",1,"White",-0.5,"50-59","Post-grad",23324
"21",1,"White",-0.5,"60-69","No HS",23774
"22",1,"White",-0.5,"60-69","HS",72250
"23",1,"White",-0.5,"60-69","Some college",67913
"24",1,"White",-0.5,"60-69","4-Year College",30135
"25",1,"White",-0.5,"60-69","Post-grad",24348
"26",1,"White",-0.5,"70+","No HS",46859
"27",1,"White",-0.5,"70+","HS",98748
"28",1,"White",-0.5,"70+","Some college",54404
"29",1,"White",-0.5,"70+","4-Year College",20973
"30",1,"White",-0.5,"70+","Post-grad",15511
"31",1,"White",0.5,"18-29","No HS",29593
"32",1,"White",0.5,"18-29","HS",78976
"33",1,"White",0.5,"18-29","Some college",94897
"34",1,"White",0.5,"18-29","4-Year College",29289
"35",1,"White",0.5,"18-29","Post-grad",5798
"36",1,"White",0.5,"30-39","No HS",20376
"37",1,"White",0.5,"30-39","HS",53290
"38",1,"White",0.5,"30-39","Some college",58147
"39",1,"White",0.5,"30-39","4-Year College",36716
"40",1,"White",0.5,"30-39","Post-grad",17104
"41",1,"White",0.5,"40-49","No HS",26745
"42",1,"White",0.5,"40-49","HS",59283
"43",1,"White",0.5,"40-49","Some college",58981
"44",1,"White",0.5,"40-49","4-Year College",37377
"45",1,"White",0.5,"40-49","Post-grad",19302
"46",1,"White",0.5,"50-59","No HS",29459
"47",1,"White",0.5,"50-59","HS",77537
"48",1,"White",0.5,"50-59","Some college",62675
"49",1,"White",0.5,"50-59","4-Year College",36084
"50",1,"White",0.5,"50-59","Post-grad",21702
"51",1,"White",0.5,"60-69","No HS",23135
"52",1,"White",0.5,"60-69","HS",58938
"53",1,"White",0.5,"60-69","Some college",57480
"54",1,"White",0.5,"60-69","4-Year College",35579
"55",1,"White",0.5,"60-69","Post-grad",24800
"56",1,"White",0.5,"70+","No HS",30832
"57",1,"White",0.5,"70+","HS",57233
"58",1,"White",0.5,"70+","Some college",39766
"59",1,"White",0.5,"70+","4-Year College",26613
"60",1,"White",0.5,"70+","Post-grad",22057
"61",1,"Black",-0.5,"18-29","No HS",15587
"62",1,"Black",-0.5,"18-29","HS",38143
"63",1,"Black",-0.5,"18-29","Some college",61011
"64",1,"Black",-0.5,"18-29","4-Year College",10754
"65",1,"Black",-0.5,"18-29","Post-grad",2300
"66",1,"Black",-0.5,"30-39","No HS",10055
"67",1,"Black",-0.5,"30-39","HS",27250
"68",1,"Black",-0.5,"30-39","Some college",33194
"69",1,"Black",-0.5,"30-39","4-Year College",13213
"70",1,"Black",-0.5,"30-39","Post-grad",8249
"71",1,"Black",-0.5,"40-49","No HS",9117
"72",1,"Black",-0.5,"40-49","HS",25210
"73",1,"Black",-0.5,"40-49","Some college",32576
"74",1,"Black",-0.5,"40-49","4-Year College",11539
"75",1,"Black",-0.5,"40-49","Post-grad",8873
"76",1,"Black",-0.5,"50-59","No HS",13233
"77",1,"Black",-0.5,"50-59","HS",28648
"78",1,"Black",-0.5,"50-59","Some college",30897
"79",1,"Black",-0.5,"50-59","4-Year College",11817
"80",1,"Black",-0.5,"50-59","Post-grad",5988
"81",1,"Black",-0.5,"60-69","No HS",12885
"82",1,"Black",-0.5,"60-69","HS",24451
"83",1,"Black",-0.5,"60-69","Some college",23193
"84",1,"Black",-0.5,"60-69","4-Year College",8398
"85",1,"Black",-0.5,"60-69","Post-grad",4916
"86",1,"Black",-0.5,"70+","No HS",21089
"87",1,"Black",-0.5,"70+","HS",18424
"88",1,"Black",-0.5,"70+","Some college",10346
"89",1,"Black",-0.5,"70+","4-Year College",3380
"90",1,"Black",-0.5,"70+","Post-grad",3666
"91",1,"Black",0.5,"18-29","No HS",21788
"92",1,"Black",0.5,"18-29","HS",47348
"93",1,"Black",0.5,"18-29","Some college",42684
"94",1,"Black",0.5,"18-29","4-Year College",6889
"95",1,"Black",0.5,"18-29","Post-grad",836
"96",1,"Black",0.5,"30-39","No HS",14813
"97",1,"Black",0.5,"30-39","HS",28973
"98",1,"Black",0.5,"30-39","Some college",23424
"99",1,"Black",0.5,"30-39","4-Year College",6716
"100",1,"Black",0.5,"30-39","Post-grad",2533
"101",1,"Black",0.5,"40-49","No HS",10422
"102",1,"Black",0.5,"40-49","HS",31165
"103",1,"Black",0.5,"40-49","Some college",19712
"104",1,"Black",0.5,"40-49","4-Year College",6243
"105",1,"Black",0.5,"40-49","Post-grad",3032
"106",1,"Black",0.5,"50-59","No HS",14251
"107",1,"Black",0.5,"50-59","HS",31530
"108",1,"Black",0.5,"50-59","Some college",20055
"109",1,"Black",0.5,"50-59","4-Year College",6221
"110",1,"Black",0.5,"50-59","Post-grad",3098
"111",1,"Black",0.5,"60-69","No HS",13355
"112",1,"Black",0.5,"60-69","HS",21887
"113",1,"Black",0.5,"60-69","Some college",14735
"114",1,"Black",0.5,"60-69","4-Year College",5048
"115",1,"Black",0.5,"60-69","Post-grad",2738
"116",1,"Black",0.5,"70+","No HS",14417
"117",1,"Black",0.5,"70+","HS",9626
"118",1,"Black",0.5,"70+","Some college",6561
"119",1,"Black",0.5,"70+","4-Year College",1951
"120",1,"Black",0.5,"70+","Post-grad",2542
"121",1,"Other",-0.5,"18-29","No HS",1844
"122",1,"Other",-0.5,"18-29","HS",3834
"123",1,"Other",-0.5,"18-29","Some college",6711
"124",1,"Other",-0.5,"18-29","4-Year College",2315
"125",1,"Other",-0.5,"18-29","Post-grad",629
"126",1,"Other",-0.5,"30-39","No HS",1389
"127",1,"Other",-0.5,"30-39","HS",2300
"128",1,"Other",-0.5,"30-39","Some college",3799
"129",1,"Other",-0.5,"30-39","4-Year College",2145
"130",1,"Other",-0.5,"30-39","Post-grad",1202
"131",1,"Other",-0.5,"40-49","No HS",1145
"132",1,"Other",-0.5,"40-49","HS",1810
"133",1,"Other",-0.5,"40-49","Some college",3442
"134",1,"Other",-0.5,"40-49","4-Year College",2154
"135",1,"Other",-0.5,"40-49","Post-grad",1739
"136",1,"Other",-0.5,"50-59","No HS",1408
"137",1,"Other",-0.5,"50-59","HS",2625
"138",1,"Other",-0.5,"50-59","Some college",3119
"139",1,"Other",-0.5,"50-59","4-Year College",1973
"140",1,"Other",-0.5,"50-59","Post-grad",1369
"141",1,"Other",-0.5,"60-69","No HS",1248
"142",1,"Other",-0.5,"60-69","HS",2166
"143",1,"Other",-0.5,"60-69","Some college",2062
"144",1,"Other",-0.5,"60-69","4-Year College",990
"145",1,"Other",-0.5,"60-69","Post-grad",804
"146",1,"Other",-0.5,"70+","No HS",1575
"147",1,"Other",-0.5,"70+","HS",1594
"148",1,"Other",-0.5,"70+","Some college",1416
"149",1,"Other",-0.5,"70+","4-Year College",517
"150",1,"Other",-0.5,"70+","Post-grad",393
"151",1,"Other",0.5,"18-29","No HS",2878
"152",1,"Other",0.5,"18-29","HS",4360
"153",1,"Other",0.5,"18-29","Some college",6413
"154",1,"Other",0.5,"18-29","4-Year College",2128
"155",1,"Other",0.5,"18-29","Post-grad",664
"156",1,"Other",0.5,"30-39","No HS",2022
"157",1,"Other",0.5,"30-39","HS",2655
"158",1,"Other",0.5,"30-39","Some college",3043
"159",1,"Other",0.5,"30-39","4-Year College",1941
"160",1,"Other",0.5,"30-39","Post-grad",825
"161",1,"Other",0.5,"40-49","No HS",1931
"162",1,"Other",0.5,"40-49","HS",2011
"163",1,"Other",0.5,"40-49","Some college",3022
"164",1,"Other",0.5,"40-49","4-Year College",1035
"165",1,"Other",0.5,"40-49","Post-grad",1072
"166",1,"Other",0.5,"50-59","No HS",1531
"167",1,"Other",0.5,"50-59","HS",1722
"168",1,"Other",0.5,"50-59","Some college",2511
"169",1,"Other",0.5,"50-59","4-Year College",973
"170",1,"Other",0.5,"50-59","Post-grad",1599
"171",1,"Other",0.5,"60-69","No HS",1461
"172",1,"Other",0.5,"60-69","HS",1605
"173",1,"Other",0.5,"60-69","Some college",1731
"174",1,"Other",0.5,"60-69","4-Year College",884
"175",1,"Other",0.5,"60-69","Post-grad",1339
"176",1,"Other",0.5,"70+","No HS",835
"177",1,"Other",0.5,"70+","HS",959
"178",1,"Other",0.5,"70+","Some college",1152
"179",1,"Other",0.5,"70+","4-Year College",471
"180",1,"Other",0.5,"70+","Post-grad",759
"181",1,"Hispanic",-0.5,"18-29","No HS",1319
"182",1,"Hispanic",-0.5,"18-29","HS",1959
"183",1,"Hispanic",-0.5,"18-29","Some college",3678
"184",1,"Hispanic",-0.5,"18-29","4-Year College",937
"185",1,"Hispanic",-0.5,"18-29","Post-grad",152
"186",1,"Hispanic",-0.5,"30-39","No HS",970
"187",1,"Hispanic",-0.5,"30-39","HS",1160
"188",1,"Hispanic",-0.5,"30-39","Some college",1192
"189",1,"Hispanic",-0.5,"30-39","4-Year College",908
"190",1,"Hispanic",-0.5,"30-39","Post-grad",289
"191",1,"Hispanic",-0.5,"40-49","No HS",472
"192",1,"Hispanic",-0.5,"40-49","HS",803
"193",1,"Hispanic",-0.5,"40-49","Some college",1120
"194",1,"Hispanic",-0.5,"40-49","4-Year College",738
"195",1,"Hispanic",-0.5,"40-49","Post-grad",248
"196",1,"Hispanic",-0.5,"50-59","No HS",612
"197",1,"Hispanic",-0.5,"50-59","HS",721
"198",1,"Hispanic",-0.5,"50-59","Some college",1012
"199",1,"Hispanic",-0.5,"50-59","4-Year College",555
"200",1,"Hispanic",-0.5,"50-59","Post-grad",571
"201",1,"Hispanic",-0.5,"60-69","No HS",227
"202",1,"Hispanic",-0.5,"60-69","HS",511
"203",1,"Hispanic",-0.5,"60-69","Some college",612
"204",1,"Hispanic",-0.5,"60-69","4-Year College",140
"205",1,"Hispanic",-0.5,"60-69","Post-grad",171
"206",1,"Hispanic",-0.5,"70+","No HS",563
"207",1,"Hispanic",-0.5,"70+","HS",918
"208",1,"Hispanic",-0.5,"70+","Some college",517
"209",1,"Hispanic",-0.5,"70+","4-Year College",161
"210",1,"Hispanic",-0.5,"70+","Post-grad",49
"211",1,"Hispanic",0.5,"18-29","No HS",1943
"212",1,"Hispanic",0.5,"18-29","HS",2508
"213",1,"Hispanic",0.5,"18-29","Some college",3096
"214",1,"Hispanic",0.5,"18-29","4-Year College",755
"215",1,"Hispanic",0.5,"18-29","Post-grad",14
"216",1,"Hispanic",0.5,"30-39","No HS",1022
"217",1,"Hispanic",0.5,"30-39","HS",1312
"218",1,"Hispanic",0.5,"30-39","Some college",2040
"219",1,"Hispanic",0.5,"30-39","4-Year College",901
"220",1,"Hispanic",0.5,"30-39","Post-grad",154
"221",1,"Hispanic",0.5,"40-49","No HS",660
"222",1,"Hispanic",0.5,"40-49","HS",867
"223",1,"Hispanic",0.5,"40-49","Some college",964
"224",1,"Hispanic",0.5,"40-49","4-Year College",570
"225",1,"Hispanic",0.5,"40-49","Post-grad",412
